FID_,average_max_rainfall,average_2hr_rainfall,average_72hr_rainfall,distance to coast,EV,TWI,DTW,label,probability_1,predicted,correct
4825,0.956008907,0.171622717,0.558857784,10.20431129,0.640547759,53.80824561,4.837068422,1,0.9808373,1,1
384,1.048263124,0.173822922,0.538274952,844.9681459,2.785139481,1241.924082,8.375839472,1,0.9210801,1,1
5393,1.010412824,0.171092032,0.553316893,67.43843286,2.11605562,226.9767596,4.437828676,0,0.10012456,0,1
7209,1.032224142,0.17493077,0.566782857,482.0576935,3.069592984,670.7817336,4.529000974,0,0.23143567,0,1
14766,1.10684553,0.173443724,0.617622465,0.0,2.831715447,457.1913134,10.65934675,1,0.61758745,1,1
10668,1.006062535,0.172599356,0.567334021,377.1500468,4.009813418,1129.415878,5.121460253,0,0.12046076,0,1
6506,1.052110473,0.177863095,0.572227514,5.351754368,1.722325979,37.35566577,4.543159099,0,0.115044065,0,1
9412,0.94038857,0.161500201,0.549701628,687.8650977,2.410851443,1719.434474,4.8597972,0,0.22978322,0,1
404,0.913475637,0.184186865,0.569761905,231.906688,2.505938337,843.8658568,6.299671455,1,0.7120274,1,1
8923,1.03388583,0.173802617,0.5660108,656.9346664,3.090653329,1025.388211,5.468357253,0,0.22121957,0,1
12292,1.058051653,0.160279302,0.553722076,882.058163,3.407867005,1176.060023,8.558979715,1,0.88615984,1,1
447,1.043670044,0.173919424,0.53893055,1384.703869,3.507393694,2203.948971,8.245000189,1,0.9079418,1,1
